ABCP11,01201140000190,FDO INV IMOB GRAND PLAZA SHOPPING,FII ABC IMOB
AFCR11,32065364000146,AF INVEST FDO INV. IMOB. - RECEBÍVEIS IMOB.,FII AFINVCR
ALMI11,07122725000100,FDO INV IMOB - FII TORRE ALMIRANTE,FII TORRE AL
ALZR11,28737771000185,ALIANZA TRUST RENDA IMOBILIARIA FDO INV IMOB,FII ALIANZA
ANCR11B,07789135000127,FDO INV IMOB - FII ANCAR IC,FII ANCAR IC
AQLL11,13555918000149,ÁQUILLA FDO INV IMOB - FII,FII AQUILLA
ARFI11B,14069202000102,AQ3 RENDA FDO INV IMOB - FII,FII AQUIL RD
ARRI11,32006821000121,FDO. INV. IMOB. ÁTRIO REIT RECEBÍVEIS IMOBILIÁRIOS,FII ATRIO
ATCR11,14631148000139,HAZ FDO INV IMOB - FII,FII HAZ
ATSA11,12809972000100,HEDGE ATRIUM SHOPPING SANTO ANDRE FDO INV IMOB,FII HATRIUM
BARI11,29267567000100,FDO INV IMOB BARIGUI RENDIMENTOS IMOB I FII,FII BARIGUI
BBFI11B,07000400000146,BB FDO INV IMOB PROGRESSIVO,FII BB PROGR
BBIM11,20716161000193,BB RECEBIVEIS IMOBILIARIOS FDO INV IMOB - FII,FII BB RECIM
BBPO11,14410722000129,BB PROGRESSIVO II FDO INV IMOB - FII,FII BB PRGII
BBRC11,12681340000104,BB RENDA CORPORATIVA FDO INV IMOB - FII,FII BB CORP
BBVJ11,10347985000180,FDO INV IMOB BB VOTORANTIM C JARD CONT TOWER,FII C JARDIM
BCFF11,11026627000138,FDO INV IMOB - FII BTG PACTUAL FUNDO DE FUNDOS,FII BC FFII
BCIA11,20216935000117,BRADESCO CARTEIRA IMOBILIÁRIA ATIVA - FII,FII BCIA
BCRI11,22219335000138,BANESTES RECEBÍVEIS IMOBILIÁRIOS FDO INV IMOB  FII,FII BEES CRI
BICR11,34007109000172,INTER TÍTULOS IMOB. FDO INV. IMOB.,FII INTER
BLMO11,34895894000147,BLUEMACAW OFFICE FUND II - FDO. INVEST. IMOB.,FII BLUEMAC
BMII11,02027437000144,FDO BRASÍLIO MACHADO DE INVESTIMENTO IMOBILIÁRIO,FII BRASILIO
BMLC11B,14376247000111,FDO INV IMOB - FII BM BRASCAN LAJES CORPORATIVAS,FII BMBRC LC
BNFS11,15570431000160,BANRISUL NOVAS FRONTEIRAS FDO INV IMOB - FII,FII BANRISUL
BPFF11,17324357000128,FDO INV IMOB BRASIL PLURAL ABSOLUTO FDO DE FUNDOS,FII ABSOLUTO
BPML11,33046142000149,FDO INV IMOB BTG PACTUAL SHOPPINGS,FII BTG SHOP
BPRP11,29800650000101,FDO INV IMOB - FII BRLPROP,FII BRLPROP
BRCO11,20748515000181,BRESCO LOGÍSTICA - FDO INV IMOB,FII BRESCO
